user,GENDER,AGE,REGION,MUSIC,0,1,2,3,4,Q_POP,Q_NEW_MUSIC,Q_DANCE,LIST
36927,0,6,South,3,1,0,0,0,0,2,1,0,1
3566,0,3,South,3,1,0,1,0,0,2,2,0,0
20054,0,5,Midlands,2,1,0,0,0,-1,2,1,1,0
41749,0,4,South,4,0,0,0,1,0,2,3,1,1
23108,0,1,North,4,1,0,0,0,0,1,3,2,2
42754,1,2,Midlands,4,0,0,0,1,0,2,3,1,4
4596,0,5,North,2,0,0,-1,0,0,2,1,1,0
40555,0,5,Midlands,3,1,0,0,0,0,3,1,1,1
8673,0,4,Midlands,2,0,0,1,0,0,2,1,1,1
5195,1,4,South,3,1,0,1,0,0,3,0,0,2
33301,0,2,South,3,0,0,0,0,0,0,2,2,0
30264,1,5,North,2,0,0,0,0,0,2,0,1,1
18020,1,5,North,0,0,0,0,0,0,0,0,0,0
24241,0,3,North,3,0,0,0,0,0,2,2,2,0
41557,0,2,North,4,0,0,0,1,0,2,3,2,1
2314,0,3,Midlands,3,1,0,0,0,0,3,1,3,1
20646,1,5,Midlands,4,1,0,0,0,0,0,2,0,2
672,1,3,North,3,1,0,0,0,0,3,1,0,0
23151,0,6,Midlands,3,0,0,0,0,0,1,1,0,0
47285,1,4,Midlands,2,0,0,0,0,0,1,1,0,1
1596,0,4,North,3,1,0,0,0,0,2,2,0,1
3975,1,4,North,2,0,0,1,0,0,1,0,1,0
27163,1,4,Midlands,3,0,1,0,0,0,3,2,0,1
33041,0,2,Midlands,3,1,0,0,0,0,2,2,1,2
13487,1,3,Midlands,1,0,0,0,0,0,2,1,1,1
14286,0,4,South,3,1,0,0,0,0,2,1,1,1
11495,0,5,North,3,1,0,0,0,0,2,1,0,1
14632,0,4,North,2,1,0,0,0,1,1,1,2,0
24444,0,2,North,4,0,0,0,0,0,1,1,1,0
40602,1,5,Midlands,2,0,0,0,0,0,3,1,1,6
8302,1,5,North,3,0,0,1,0,0,2,2,0,1
25613,0,2,North,3,0,1,0,0,0,3,2,2,2
20661,0,2,Midlands,2,1,0,0,0,1,2,3,2,0
20209,0,4,North,3,1,0,0,0,1,2,2,1,0
23372,0,2,Midlands,4,0,0,0,0,0,1,2,1,0
46258,1,4,South,3,0,0,0,-1,0,2,1,0,0
8247,1,5,South,3,0,0,1,0,0,2,2,0,0
17726,0,1,South,4,1,0,0,0,1,3,3,3,2
18379,0,6,North,1,1,0,0,0,0,2,1,1,0
33999,0,5,North,3,0,0,0,0,0,2,1,1,0
8084,1,6,South,2,0,0,1,0,0,1,1,0,1
43228,0,4,North,3,0,0,0,1,0,2,1,1,0
38721,0,6,South,4,1,0,0,0,0,2,1,0,0
4676,1,2,Midlands,4,0,0,1,0,0,0,3,1,4
910,0,5,South,3,1,0,0,0,0,2,2,2,1
34259,0,3,Midlands,3,1,1,0,0,0,2,2,0,1
14096,0,2,Midlands,4,0,0,0,0,1,3,3,1,2
10576,1,6,North,3,-1,0,0,0,0,2,1,0,1
10852,1,3,North,2,1,0,0,0,0,0,1,1,2
31731,1,6,South,3,-1,-1,0,0,0,3,3,0,0
33566,1,2,Midlands,3,0,0,0,0,0,2,2,0,1
33302,0,1,North,3,1,0,0,0,0,0,1,0,2
28634,0,6,North,3,0,1,0,0,0,2,1,1,0
